iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8
results/01_atlas/I0013	FAM001_ID001	36.86329126358032	955.592157336477	62.0
results/01_atlas/I0048	FAM001_ID001	37.43840157985687	568.1506942331159	41.0
results/01_atlas/I0048	results/01_atlas/I0013	48.678399999999996	360.89119448614724	25.0
