Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
4194	5294	0.235225	0.2984040081501007	1100	0.063179	1	11032639	14334758	results/01_atlas/I0048	results/01_atlas/I0013
46856	47348	1.5028610229492188	1.5758440494537354	492	0.0729830265045166	1	120355513	147208401	results/01_atlas/I0048	results/01_atlas/I0013
38	1660	0.028999	0.11797299981117249	1622	0.088974	1	1121794	5000086	results/01_atlas/I0048	FAM001_ID001
1921	5339	0.1316010057926178	0.29889699816703796	3418	0.16729599237442017	1	5362345	14372163	results/01_atlas/I0048	FAM001_ID001
10747	12979	0.5156760215759277	0.5840910077095032	2232	0.06841498613357544	1	26531256	33525665	results/01_atlas/I0048	FAM001_ID001
23053	24947	0.8602659702301025	0.9247300028800964	1894	0.0644640326499939	1	59110167	63458074	results/01_atlas/I0048	FAM001_ID001
46650	48548	1.4966299533843994	1.6327580213546753	1898	0.13612806797027588	1	119914137	153143048	results/01_atlas/I0048	FAM001_ID001
82293	83879	2.5493040084838867	2.632411003112793	1586	0.08310699462890625	1	234501283	237612398	results/01_atlas/I0048	FAM001_ID001
86392	88074	2.7443830966949463	2.8307950496673584	1682	0.08641195297241211	1	242545880	246159525	results/01_atlas/I0048	FAM001_ID001
1321	5741	0.108981	0.3139750063419342	4420	0.20499401	1	4558933	15059653	results/01_atlas/I0013	FAM001_ID001
5960	7394	0.3284339904785156	0.39447298645973206	1434	0.06603899598121643	1	15376091	18699444	results/01_atlas/I0013	FAM001_ID001
13280	14972	0.5943019986152649	0.6545259952545166	1692	0.06022399663925171	1	34247896	38466697	results/01_atlas/I0013	FAM001_ID001
33949	36046	1.1454880237579346	1.2088600397109985	2097	0.06337201595306396	1	86263583	91867046	results/01_atlas/I0013	FAM001_ID001
45476	47030	1.4711860418319702	1.550034999847412	1554	0.0788489580154419	1	117032783	145745492	results/01_atlas/I0013	FAM001_ID001
49479	52388	1.6623070240020752	1.750525951385498	2909	0.08821892738342285	1	156347131	162319329	results/01_atlas/I0013	FAM001_ID001
81696	83118	2.5273990631103516	2.5926690101623535	1422	0.06526994705200195	1	233512362	236296360	results/01_atlas/I0013	FAM001_ID001
86699	88065	2.7589800357818604	2.830709934234619	1366	0.07172989845275879	1	243141099	246142744	results/01_atlas/I0013	FAM001_ID001
