Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
1516	2537	0.083474	0.15093299746513367	1021	0.067458995	18	3171224	5152737	results/01_atlas/I0048	results/01_atlas/I0013
2645	4964	0.16012699902057648	0.27730798721313477	2319	0.11718098819255829	18	5352115	9434027	results/01_atlas/I0048	results/01_atlas/I0013
7961	10040	0.41900700330734253	0.47981399297714233	2079	0.060806989669799805	18	21208196	25857674	results/01_atlas/I0048	results/01_atlas/I0013
27778	30209	0.9230440258979797	1.0148789882659912	2431	0.09183496236801147	18	66411068	71425522	results/01_atlas/I0048	results/01_atlas/I0013
1214	4695	0.064851	0.26815998554229736	3481	0.20330898	18	2535719	8803251	results/01_atlas/I0048	FAM001_ID001
4886	7023	0.2760480046272278	0.3851320147514343	2137	0.10908401012420654	18	9102140	13623536	results/01_atlas/I0048	FAM001_ID001
10494	13364	0.4894289970397949	0.5509179830551147	2870	0.061488986015319824	18	27266691	34860337	results/01_atlas/I0048	FAM001_ID001
28148	33624	0.9351770281791687	1.1701509952545166	5476	0.2349739670753479	18	67206142	77343164	results/01_atlas/I0048	FAM001_ID001
3	2894	0.002663	0.17017699778079987	2891	0.167514	18	158917	5832773	results/01_atlas/I0013	FAM001_ID001
3078	5264	0.1805569976568222	0.2945219874382019	2186	0.1139649897813797	18	6079587	9984478	results/01_atlas/I0013	FAM001_ID001
5560	7027	0.3163140118122101	0.3858349919319153	1467	0.0695209801197052	18	10408032	13642721	results/01_atlas/I0013	FAM001_ID001
10178	13152	0.4819130003452301	0.5495859980583191	2974	0.06767299771308899	18	26281870	34212669	results/01_atlas/I0013	FAM001_ID001
17192	20734	0.6240280270576477	0.7141730189323425	3542	0.09014499187469482	18	43980076	51059341	results/01_atlas/I0013	FAM001_ID001
22104	30590	0.7389090061187744	1.0372029542922974	8486	0.29829394817352295	18	54725964	72043320	results/01_atlas/I0013	FAM001_ID001
