Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
358	3816	0.028751	0.20400600135326385	3458	0.175255	21	15964278	23783406	results/01_atlas/I0048	results/01_atlas/I0013
6045	16031	0.2780340015888214	0.6278650164604187	9986	0.3498310148715973	21	28713216	48100155	results/01_atlas/I0048	results/01_atlas/I0013
16	4366	0.017824	0.22011399269104004	4350	0.20229	21	15400618	25211674	results/01_atlas/I0048	FAM001_ID001
5286	15729	0.24553999304771423	0.619924008846283	10443	0.3743840157985687	21	27331969	47441315	results/01_atlas/I0048	FAM001_ID001
313	2257	0.026701	0.1412069946527481	1944	0.11450599	21	15898152	20240604	results/01_atlas/I0013	FAM001_ID001
2477	5256	0.14946000277996063	0.24472500383853912	2779	0.09526500105857849	21	20725800	27266763	results/01_atlas/I0013	FAM001_ID001
6043	15729	0.27780601382255554	0.619924008846283	9686	0.3421179950237274	21	28712418	47441315	results/01_atlas/I0013	FAM001_ID001
