Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
927	4905	0.095224	0.32498300075531006	3978	0.22975901	22	19286056	28024182	results/01_atlas/I0048	results/01_atlas/I0013
229	5483	0.03376	0.3414449989795685	5254	0.307685	22	17674117	29850761	results/01_atlas/I0048	FAM001_ID001
8072	14475	0.40412798523902893	0.6631919741630554	6403	0.2590639889240265	22	35443294	48863114	results/01_atlas/I0048	FAM001_ID001
14577	15786	0.675773024559021	0.740477979183197	1209	0.06470495462417603	22	49020537	51165664	results/01_atlas/I0048	FAM001_ID001
124	4870	0.027612	0.32338500022888184	4746	0.295773	22	17494547	27977011	results/01_atlas/I0013	FAM001_ID001
6229	14684	0.3526189923286438	0.679161012172699	8455	0.3265420198440552	22	32285303	49112879	results/01_atlas/I0013	FAM001_ID001
