Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
11259	13159	0.443569004535675	0.5173529982566833	1900	0.0737839937210083	4	25300395	30231510	results/01_atlas/I0013	FAM001_ID001
24098	27883	0.8175250291824341	0.9036419987678528	3785	0.0861169695854187	4	64502837	76988481	results/01_atlas/I0013	FAM001_ID001
28450	31054	0.9191070199012756	0.9942299723625184	2604	0.0751229524612426	4	78174854	84753412	results/01_atlas/I0013	FAM001_ID001
48689	51386	1.429137945175171	1.5109679698944092	2697	0.0818300247192382	4	138870773	146862215	results/01_atlas/I0013	FAM001_ID001
53822	56200	1.5709259510040283	1.6421149969100952	2378	0.0711890459060669	4	154033327	160504119	results/01_atlas/I0013	FAM001_ID001
61610	66415	1.8081209659576416	2.0156190395355225	4805	0.2074980735778808	4	175502088	185780134	results/01_atlas/I0013	FAM001_ID001
1781	3380	0.086941	0.1560129970312118	1599	0.069072	5	3508541	6161673	results/01_atlas/I0048	FAM001_ID001
24877	27149	0.7444080114364624	0.8233709931373596	2272	0.0789629817008972	5	66278714	73506111	results/01_atlas/I0048	FAM001_ID001
68031	69348	1.9664249420166016	2.0407838821411133	1317	0.0743589401245117	5	177535370	180679117	results/01_atlas/I0048	FAM001_ID001
816	5209	0.040242	0.213699996471405	4393	0.173458	5	2156561	9453089	results/01_atlas/I0013	FAM001_ID001
5611	10737	0.2329770028591156	0.3913950026035309	5126	0.1584179997444152	5	10162790	24358026	results/01_atlas/I0013	FAM001_ID001
29579	31775	0.9110950231552124	0.978887975215912	2196	0.0677929520606994	5	79074557	85119481	results/01_atlas/I0013	FAM001_ID001
44033	47046	1.2459360361099243	1.3296159505844116	3013	0.0836799144744873	5	120683069	128008356	results/01_atlas/I0013	FAM001_ID001
52898	55149	1.470715045928955	1.542199969291687	2251	0.0714849233627319	5	144373766	149331638	results/01_atlas/I0013	FAM001_ID001
56559	61193	1.316509	1.4539079666137695	4634	0.13739896	6	130277050	140733855	results/01_atlas/I0048	FAM001_ID001
6558	8561	0.255823	0.320127010345459	2003	0.064304024	6	11659386	15350455	results/01_atlas/I0013	FAM001_ID001
55100	58849	1.285964012145996	1.380661964416504	3749	0.0946979522705078	6	126151000	135081569	results/01_atlas/I0013	FAM001_ID001
67354	68844	1.6221790313720703	1.6837420463562012	1490	0.0615630149841308	6	154466818	158085131	results/01_atlas/I0013	FAM001_ID001
70921	73213	1.7422269582748413	1.8256189823150637	2292	0.0833920240402221	6	162176899	166231573	results/01_atlas/I0013	FAM001_ID001
3196	5450	0.170132	0.2385990023612976	2254	0.068467006	7	8724594	13242350	results/01_atlas/I0048	results/01_atlas/I0013
