Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
8581	12037	0.361704	0.4762510061264038	3456	0.114547014	12	19105598	26728869	results/01_atlas/I0048	results/01_atlas/I0013
25712	29358	0.8095549941062927	0.8991230130195618	3646	0.08956801891326904	12	67184108	75969345	results/01_atlas/I0048	results/01_atlas/I0013
51905	53777	1.6457070112228394	1.7439550161361694	1872	0.09824800491333008	12	129778847	133325639	results/01_atlas/I0048	results/01_atlas/I0013
816	2524	0.044576	0.1224289983510971	1708	0.077852994	12	2056363	4899595	results/01_atlas/I0048	FAM001_ID001
3916	5782	0.18335899710655212	0.27141499519348145	1866	0.08805599808692932	12	7374257	12252078	results/01_atlas/I0048	FAM001_ID001
20008	22602	0.642952024936676	0.7271659970283508	2594	0.0842139720916748	12	51470895	58486021	results/01_atlas/I0048	FAM001_ID001
24424	27191	0.7677019834518433	0.854653000831604	2767	0.08695101737976074	12	63576379	70064295	results/01_atlas/I0048	FAM001_ID001
44390	46166	1.319219946861267	1.3851670026779175	1776	0.06594705581665039	12	114418983	117640576	results/01_atlas/I0048	FAM001_ID001
46744	49545	1.410730004310608	1.5125830173492432	2801	0.10185301303863525	12	118590816	125998471	results/01_atlas/I0048	FAM001_ID001
50245	51589	1.5404399633407593	1.6286369562149048	1344	0.08819699287414551	12	127232755	129342583	results/01_atlas/I0048	FAM001_ID001
51743	53881	1.6391750574111938	1.7467989921569824	2138	0.10762393474578857	12	129595540	133810286	results/01_atlas/I0048	FAM001_ID001
6	4231	0.00178	0.20511800050735474	4225	0.203338	12	196610	8379967	results/01_atlas/I0013	FAM001_ID001
4631	6995	0.2235099971294403	0.3166489899158478	2364	0.09313899278640747	12	9801382	14661013	results/01_atlas/I0013	FAM001_ID001
9110	14498	0.3784179985523224	0.5346620082855225	5388	0.15624400973320007	12	20381649	32029844	results/01_atlas/I0013	FAM001_ID001
25124	27307	0.7877309918403625	0.8566349744796753	2183	0.06890398263931274	12	65953527	70315781	results/01_atlas/I0013	FAM001_ID001
27680	32394	0.864467978477478	1.0004240274429321	4714	0.1359560489654541	12	71016832	84220855	results/01_atlas/I0013	FAM001_ID001
33325	40441	1.0142669677734375	1.2212049961090088	7116	0.2069380283355713	12	88114376	104776465	results/01_atlas/I0013	FAM001_ID001
51088	53881	1.5914440155029297	1.7467989921569824	2793	0.15535497665405273	12	128657480	133810286	results/01_atlas/I0013	FAM001_ID001
